"Record type","Navigation group","Label","Destination or identifier","URL","Control behavior","New behavior","Off behavior","Verification","Notes","Source"
"BL directory destination","Resources","innflow help center","/help-center","https://innflow.ai/help-center","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","About innflow","/about","https://innflow.ai/about","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","Careers at innflow","/careers","https://innflow.ai/careers","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","Industry coverage","/in-the-news","https://innflow.ai/in-the-news","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","Partner with innflow","/partner-with-us","https://innflow.ai/partner-with-us","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","Advisor partnerships","/advisor-partner-program","https://innflow.ai/advisor-partner-program","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Company and partnerships","Share innflow","/landlord-referral","https://innflow.ai/landlord-referral","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Security and legal","Security and governance","/security","https://innflow.ai/security","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Security and legal","Legal agreements","/legal-agreements","https://innflow.ai/legal-agreements","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Security and legal","Privacy Policy","/legal/privacy-policy","https://innflow.ai/legal/privacy-policy","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Security and legal","Terms of Service","/legal/terms-of-service","https://innflow.ai/legal/terms-of-service","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"Legacy redirect","BL aliases","/BL/BL-about","/BL/BL-about","https://innflow.ai/BL/BL-about","Redirect to /about; preserve assigned control","Redirect to /about; preserve assigned new","Redirect to /about","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-advisor-partner-program","/BL/BL-advisor-partner-program","https://innflow.ai/BL/BL-advisor-partner-program","Redirect to /advisor-partner-program; preserve assigned control","Redirect to /advisor-partner-program; preserve assigned new","Redirect to /advisor-partner-program","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-careers","/BL/BL-careers","https://innflow.ai/BL/BL-careers","Redirect to /careers; preserve assigned control","Redirect to /careers; preserve assigned new","Redirect to /careers","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-connections","/BL/BL-connections","https://innflow.ai/BL/BL-connections","Redirect to /connections; preserve assigned control","Redirect to /connections; preserve assigned new","Redirect to /connections","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-demo","/BL/BL-demo","https://innflow.ai/BL/BL-demo","Redirect to /demo; preserve assigned control","Redirect to /demo; preserve assigned new","Redirect to /demo","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-free-rental-forms-and-templates-for-landlords","/BL/BL-free-rental-forms-and-templates-for-landlords","https://innflow.ai/BL/BL-free-rental-forms-and-templates-for-landlords","Redirect to /free-rental-forms-and-templates-for-landlords; preserve assigned control","Redirect to /free-rental-forms-and-templates-for-landlords; preserve assigned new","Redirect to /free-rental-forms-and-templates-for-landlords","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-help-center","/BL/BL-help-center","https://innflow.ai/BL/BL-help-center","Redirect to /help-center; preserve assigned control","Redirect to /help-center; preserve assigned new","Redirect to /help-center","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-home","/BL/BL-home","https://innflow.ai/BL/BL-home","Redirect to /; preserve assigned control","Redirect to /; preserve assigned new","Redirect to /","Redirect target verified live 2026-09-12","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-how-much-should-i-charge-for-rent","/BL/BL-how-much-should-i-charge-for-rent","https://innflow.ai/BL/BL-how-much-should-i-charge-for-rent","Redirect to /how-much-should-i-charge-for-rent; preserve assigned control","Redirect to /how-much-should-i-charge-for-rent; preserve assigned new","Redirect to /how-much-should-i-charge-for-rent","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-in-the-news","/BL/BL-in-the-news","https://innflow.ai/BL/BL-in-the-news","Redirect to /in-the-news; preserve assigned control","Redirect to /in-the-news; preserve assigned new","Redirect to /in-the-news","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-landlord-accounting","/BL/BL-landlord-accounting","https://innflow.ai/BL/BL-landlord-accounting","Redirect to /landlord-accounting; preserve assigned control","Redirect to /landlord-accounting; preserve assigned new","Redirect to /landlord-accounting","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-landlord-banking","/BL/BL-landlord-banking","https://innflow.ai/BL/BL-landlord-banking","Redirect to /landlord-banking; preserve assigned control","Redirect to /landlord-banking; preserve assigned new","Redirect to /landlord-banking","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-landlord-banking-apy","/BL/BL-landlord-banking-apy","https://innflow.ai/BL/BL-landlord-banking-apy","Redirect to /landlord-banking-apy; preserve assigned control","Redirect to /landlord-banking-apy; preserve assigned new","Redirect to /landlord-banking-apy","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
"Legacy redirect","BL aliases","/BL/BL-landlord-insurance","/BL/BL-landlord-insurance","https://innflow.ai/BL/BL-landlord-insurance","Redirect to /landlord-insurance; preserve assigned control","Redirect to /landlord-insurance; preserve assigned new","Redirect to /landlord-insurance","Redirect configured in source; not individually live-verified","Legacy URL is not a split identifier.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/next.config.ts"
