Order,Section,Item,Headline / label,Supporting copy,Summary / collapsed copy,Supporting points,CTA / link text,Link destination,Attached component,Attached visual / asset,Source file,Proposed headline,Proposed supporting copy,Status,Notes
13,Communication,"All your channels, connected","All your channels, connected","Bring messages from your connected channels into one workspace, with the customer context your team needs to respond.",,,,,BaselineFeature > ChannelsDemos,ConnectedChannelsDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 2; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
14,Communication,An assistant for your team,An assistant for your team,"Find relevant information, draft a response and review the next step without piecing together separate conversations.",,,,,BaselineFeature > ChannelsDemos,TeamAssistantDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 3; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
15,Communication,"AI agents, working together","AI agents, working together",Choose an agent for the task and give it the context to get started. Keep your team involved in the decisions that matter.,,,,,BaselineFeature > ChannelsDemos,AgentRingDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 4; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
16,Communication,Workflows that take action,Workflows that take action,"Turn a request into a clear next step: assign an owner, notify the right team or trigger a connected workflow.",,,,,BaselineFeature > ChannelsDemos,OrchestrateActionsDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 5; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
17,Communication,Insights from every interaction,Insights from every interaction,"Group related feedback, spot recurring questions and see which issues deserve your team's attention.",,,,,BaselineFeature > ChannelsDemos,InsightsDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 6; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
18,Communication,"Flexible, API-first building blocks","Flexible, API-first building blocks","Use APIs and connected tools to shape the workflow around your product, your data and the way your team works.",,,,,BaselineFeature > ChannelsDemos,ApiBuildingBlocksDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 7; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
19,AI agents,Section heading,Delegate tasks. Stay involved.,,,,,,BaselineFeatures > BaselineFeature,Feature items below,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Section id: agents; Figma node 350:11344
20,AI agents,Bring your agents together,Bring your agents together,"Summarize incoming requests, draft follow-ups, and prepare the next step. Give each agent clear instructions and review its work before moving forward.",,,,,BaselineFeature,AgentStoryboardPreview,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 1; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
21,AI agents,Delegate a task. Review the result.,Delegate a task. Review the result.,"Hand off a focused task, such as summarizing requests or drafting a follow-up. Review the result before taking the next step.",,Describe the task | Gather the relevant context | Prepare the result | Your team reviews the next step,,,BaselineFeature,Inline agentDetail steps,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 2; supporting copy resolves from baseline-features.tsx or homepage-content.ts. Visual footer: Your instructions. Your team in control.
22,AI agents,Build your own agents,Build your own agents,"Set the instructions, add relevant context and choose the tools an agent can use. Define the output and where a teammate should review it.",,Define your agent's purpose | Add instructions and knowledge | Choose tools and review points | Try it with an example request,,,BaselineFeature,Inline agentDetail steps,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 3; supporting copy resolves from baseline-features.tsx or homepage-content.ts. Visual footer: Your instructions. Your team in control.
23,Automation,Section heading,Keep the next step moving.,,,,,,BaselineFeatures > BaselineFeature,Feature items below,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Section id: workflows; Figma node 350:11402
24,Automation,Connect external systems,Connect external systems,"Carry conversation details into your connected tools. Create a task, send a team update or call your own API.",,,,,BaselineFeature,/preview/homepage/baseline-features/workflows-imgCanvas.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 1; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
25,Automation,Route by context,Route by context,Use what a customer is asking to suggest the right owner. Pass along the original context so the next person can pick up the work.,,,,,BaselineFeature,/preview/homepage/baseline-features/workflows-1.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 2; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
26,Automation,Auto-triage requests,Auto-triage requests,"Organize incoming requests with a category, priority and short summary, ready for your team to review.",,,,,BaselineFeature,/preview/homepage/baseline-features/workflows-2.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 3; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
27,Automation,Keep thread summaries current,Keep thread summaries current,"Keep a clear record of what changed, what was decided and what is still open as a conversation develops.",,,,,BaselineFeature,/preview/homepage/baseline-features/workflows-3.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 4; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
28,Insights,Section heading,See what needs your attention.,,,,,,BaselineFeatures > BaselineFeature,Feature items below,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Section id: insights; Figma node 350:11485
29,Insights,Detect trends,Detect trends,See which questions and issues keep coming up. Review related conversations together to understand the pattern.,,,,,BaselineFeature,/preview/homepage/baseline-features/insights-imgCanvas.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 1; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
30,Insights,Catch up instantly,Catch up instantly,"Get the important decisions, open questions and next steps in one brief, without rereading the entire thread.",,,,,BaselineFeature,/preview/homepage/baseline-features/insights-1.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 2; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
31,Insights,Daily summaries,Daily summaries,"Start with a digest of recent activity and open work. See what moved forward, what is waiting and where to focus today.",,,,,BaselineFeature,/preview/homepage/baseline-features/insights-2.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 3; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
32,Insights,Product insights,Product insights,Connect feature requests and recurring friction to the conversations behind them. Give product teams the context to decide what to improve.,,,,,BaselineFeature,/preview/homepage/baseline-features/insights-3.png,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 4; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
33,Customer stories,CMS section,CMS pageTestimonials heading,,,,,,BaselineCustomerStories,Selected customer portrait and neighboring portraits,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Dynamic CMS content,"Heading, quote, name, role, statistic and portraits come from getPageTestimonials(""/""). CMS records are not rewritten in this CSV. Empty local selection displays CustomerStoryLayoutPreview with explicit placeholder copy."
34,Integrations,Section heading,Connect the tools behind your work.,Bring relevant information into the tools your team already uses. Explore supported connections to find the right fit for your workflow.,,Zoom | Google Calendar | Gmail | Google Meet | Salesforce | Slack | Microsoft Teams | Outlook | Chrome | OpenAI | Claude | HubSpot | Greenhouse | LinkedIn | Stripe | PayPal | Zapier,View all integrations,/integrations,BaselineConnectedInfrastructure,Integration logo grid,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,Displayed logo examples do not establish integration availability.
35,Integrations,Support channels,Support channels,"Bring messages from your connected channels into one place, so your team can follow the conversation and respond with context.",,,,/integrations,BaselineConnectedInfrastructure > cards,/preview/homepage/baseline-lower/card-google.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,
36,Integrations,Your tools. Your workflows.,Your tools. Your workflows.,"Keep conversation details connected to the tools your team uses. Pass context into your CRM, issue tracker or own APIs.",,,,/integrations,BaselineConnectedInfrastructure > cards,/preview/homepage/baseline-lower/card-microsoft.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,
37,Integrations,Availability note,,Connection examples from the design. Check the directory for availability.,,,,,BaselineConnectedInfrastructure,Text below integration cards,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,
38,Closing,Section heading,Start with one workflow your team handles every day.,"Choose a recurring request, follow-up, or handoff. See how Innflow can help your team manage it from the first conversation to the next step.",,,Get started,siteConfig.signupUrl,BaselineClosing,Manual scene carousel,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,
39,Closing,Scene 1,Request resolved,,,,,,BaselineClosing > scenes,/preview/homepage/closing-imgImage.png | /preview/homepage/closing-imgContainer.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,Scene accessibility label; text embedded in raster artwork is not editable page copy.
40,Closing,Scene 2,Product highlight 2,,,,,,BaselineClosing > scenes,/preview/homepage/closing-imgImage2.png | /preview/homepage/closing-imgContainer1.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,Scene accessibility label; text embedded in raster artwork is not editable page copy.
41,Closing,Scene 3,Product highlight 3,,,,,,BaselineClosing > scenes,/preview/homepage/closing-imgImage3.png | /preview/homepage/closing-imgContainer2.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,Scene accessibility label; text embedded in raster artwork is not editable page copy.
42,Closing,Scene 4,Product highlight 4,,,,,,BaselineClosing > scenes,/preview/homepage/baseline-lower/closing-four-person.png | /preview/homepage/baseline-lower/closing-four-background.png,src/app/preview/scroll-showcase/baseline-lower-sections.tsx,,,Current local implementation,Scene accessibility label; text embedded in raster artwork is not editable page copy.
